Channel,No,IDS,Fr_date,to_date,LINK
MOONBUG_KIDS,618,465,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/465.json
AXN_HD,701,131,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/131.json
HITS_NOW,702,524,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/524.json
LIFETIME_HD,703,447,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/447.json
HITS_HD,706,179,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/179.json
TLC_HD,707,338,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/338.json
FOOD_NETWORK_HD,708,153,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/153.json
ASIAN_FOOD_NETWORK_HD,709,91,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/91.json
WARNER_TV_HD,712,270,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/270.json
CRIME_INVESTIGATION_HD,714,369,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/369.json
HGTV_HD,715,198,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/198.json
DMAX_HD,716,367,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/367.json
BBC_LIFESTYLE_HD,717,451,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/451.json
MTV_LIVE,718,420,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/420.json
ASTRO_ARENA_HD,801,235,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/235.json
ASTRO_ARENA_2_HD,802,457,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/457.json
ARENA_BOLA,803,486,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/486.json
ARENA_BOLA_2,804,487,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/487.json
ASTRO_SUPERSPORT_UHD_1,805,308,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/308.json
SPOTV,823,456,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/456.json
SPOTV2,824,474,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/474.json
DW_ENGLISH,ASTRO GO EXCLUSIVE CHANNELS,287,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/287.json
BEIN_SPORTS_2,821,466,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/466.json
BEIN_SPORTS_HD,820,236,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/236.json
BEIN_SPORTS_3,822,313,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/313.json
EUROSPORT_HD,825,339,28-Apr-25,4-May-25,https://contenthub-api.eco.astro.com.my/channel/339.json
WWE_NETWORK_HD,830,194,6-Jan-25,12-Jan-25,https://contenthub-api.eco.astro.com.my/channel/194.json
